national_rank,team_name,club_name,age_group,gender,state,points,wins,losses,draws,matches,goals_for,goals_against
1,"Miami Athletic Club ACADEMIA METODO COIRA 2013 ELITE (U13 Boys)","Miami Athletic Club",U13,Boys,FL,26639,40,8,10,58,138,49
2,"Inter Miami CF IMCFA 2013 (U13 Boys)","Inter Miami CF",U13,Boys,FL,25318,14,0,0,14,58,12
3,"Playmaker Futbol Academy Playmaker Futbol Academy ECNL-RL B13 (U13 Boys)","Playmaker Futbol Academy",U13,Boys,AZ,23636,37,11,3,51,146,68
4,"Weston Select Soccer Club WS 2013B Gold (U13 Boys)","Weston Select Soccer Club",U13,Boys,FL,23466,28,12,4,44,143,59
5,"Futboltech FUTBOLTECH CHSC - 2013 BAYERN (U13 Boys)","Futboltech",U13,Boys,NJ,22826,31,6,3,40,164,51
6,"BARCA Academy Pro Miami B2014 PRO (U13 Boys)","BARCA Academy Pro Miami",U13,Boys,FL,22229,31,12,4,47,159,89
7,"Miami Stars Soccer UNITED STARS 2013 (U13 Boys)","Miami Stars Soccer",U13,Boys,FL,21116,23,9,7,39,104,57
8,"Las Vegas Sports Academy Las Vegas Sports Academy U13 MLS Next 2013 (U13 Boys)","Las Vegas Sports Academy",U13,Boys,NV,20620,46,18,2,66,247,111
9,"Pinecrest Premier Soccer 2013 Boys Blue NL (U13 Boys)","Pinecrest Premier Soccer",U13,Boys,FL,20252,21,5,7,33,90,43
10,"Ives Estate THUNDERS Academy U13 by Athletum FC (U13 Boys)","Ives Estate",U13,Boys,FL,20104,18,8,9,35,72,51
11,"Miami Stars Soccer MIAMI UNITED FC 2013 ELITE (U13 Boys)","Miami Stars Soccer",U13,Boys,FL,19768,26,7,8,41,107,63
12,"Doral West Soccer Academy DORAL WEST 2013 (U13 Boys)","Doral West Soccer Academy",U13,Boys,FL,19606,28,5,7,40,145,38
13,"Springfield SYC Soccer SYC U13 MLS Next (U13 Boys)","Springfield SYC Soccer",U13,Boys,VA,19577,36,10,4,50,180,61
14,"Coppermine Soccer Club Coppermine SC 2013 Boys MLS Next AD (U13 Boys)","Coppermine Soccer Club",U13,Boys,MD,19500,34,9,5,48,145,46
15,"Weston FC Weston FC 2013 MLS Next (U13 Boys)","Weston FC",U13,Boys,FL,19366,23,3,3,29,130,35
16,"Athletum SC Athletum FC Elite 2013 (U13 Boys)","Athletum SC",U13,Boys,FL,19360,20,12,6,38,104,92
17,"EJE7 EJE7 2013 Black (U13 Boys)","EJE7",U13,Boys,FL,18073,28,13,4,45,171,80
18,"Pipeline SC Pipeline SC ECNL B13 (U13 Boys)","Pipeline SC",U13,Boys,MD,17784,32,13,7,52,150,57
19,"New York SC NYSC B2013 MLS HG (U13 Boys)","New York SC",U13,Boys,NY,17738,36,2,2,40,167,32
20,"Vegas Strong SC vegas strong sc 2013 (U13 Boys)","Vegas Strong SC",U13,Boys,NV,17480,32,7,4,43,122,47
