team_number,team_name,wins,losses,ties,goals_for,goals_against,red_cards,points,season,division,age_group,subdivision,gender
7912,Bk Academy FC 17B,5,1,2,34,13,0,17,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7915,KC Surf Academy 2017B,5,2,1,35,11,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7918,Union KC Jr Elite B17,5,2,1,39,23,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7911,2017 KCL Barcelona,5,3,0,26,23,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7917,Toca FC B2017,5,3,0,35,23,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7916,SPORTING BV Academy White 17,4,4,0,26,20,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7914,Kansas Rush Academy 17B,1,7,0,14,40,0,3,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7913,Eagles FC U9 Gold,0,8,0,7,63,0,0,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 1,Boys
7923,KC Athletics Sevilla 2017B,6,0,2,43,18,0,20,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7927,Sporting City 17B Blue-East,6,2,0,46,16,0,18,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7928,Sporting City 17B Blue-West,5,1,2,33,17,0,17,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7929,SS Academy 2017B Pre Select,5,2,1,31,17,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7922,FC Vardar 2017B,4,3,1,19,19,0,13,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7926,SPORTING BV Academy Navy 17,2,5,1,15,22,0,7,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7925,KCL North Jets 17,1,5,2,23,29,0,5,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7921,Alliance FC '17 Academy,1,6,1,14,52,0,4,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7924,KC Fusion 17B Gold,1,7,0,14,48,0,3,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 2,Boys
7932,LFC 2017B,5,2,1,25,14,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 3,Boys
7933,Sporting BV West Ham 17,5,3,0,24,15,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 3,Boys
7935,TSC 17B Select Blue,5,3,0,28,23,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 3,Boys
7934,Toca FC B2017 Championship,3,4,1,19,22,0,10,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 3,Boys
7931,Captains SC 17/18 Blue,2,5,1,16,28,0,7,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 3,Boys
7936,Unified FC Academy 17B Falcons,1,4,3,19,29,0,6,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 3,Boys
7945,Sporting City 17B Blue-North,7,0,1,48,10,0,22,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 4,Boys
7943,OP Academy 2017B,6,1,1,48,18,0,19,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 4,Boys
7941,2017 KCL Barcelona Prime,4,4,0,42,24,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 4,Boys
7946,Sporting City 17B Indigo-East,4,4,0,15,40,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 4,Boys
7944,SPORTING BV Academy 18,1,7,0,17,47,0,3,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 4,Boys
7942,KC Surf Blue 2017B,1,7,0,7,38,0,3,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 4,Boys
7956,Sporting KV Elite 17B,8,0,0,51,6,0,24,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7953,KCL La Masia 2017,8,0,0,38,11,0,24,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7957,SS Academy 2017B Pre Select Grey,5,2,1,38,13,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7959,Union KC Jr Elite B17/18 MO,5,3,0,25,27,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7954,Northland KC Surf 2017B,4,4,0,31,25,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7958,Unified FC Pre-Academy 17B,2,4,2,16,23,0,8,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7952,KC Athletics Roma 17B,2,5,1,15,29,0,7,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7955,SPORTING BV Crystal Palace 17,1,6,1,12,35,0,4,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7951,Gold Strikers FC,1,6,1,12,32,0,4,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7950,Alliance FC '17 Gunners,1,7,0,10,47,0,3,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 5,Boys
7964,LS Legends 2017 Academy,8,0,0,70,2,0,24,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7962,KC Surf Blue 2018B,8,0,0,58,7,0,24,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7965,OP Pre-Academy 2017B,5,3,0,35,31,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7966,SBV Coventry 17,4,4,0,22,34,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7969,SPORTING BV Italy 18,4,4,0,18,36,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7967,SPORTING BV Bournemouth 17,3,3,2,26,26,0,11,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7960,Captains SC 17/18 White,3,5,0,19,26,0,9,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7963,KC Surf LS Blue 2017B,2,5,1,11,26,0,7,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
796A,TSC 17B Select White,2,5,1,14,28,0,7,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7961,KC Fusion 17B Navy,2,6,0,13,42,0,6,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7968,Sporting BV Ipswich 17,1,7,0,18,46,0,3,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 6,Boys
7978,TISC Topeka Blue Jays 17/18,8,0,0,60,7,0,24,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7975,KCL Wrexham 2018,6,1,1,53,18,0,19,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7973,Emporia FC U9,6,1,1,40,9,0,19,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7970,BSSA Spartans 2017,5,3,0,49,19,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7972,BSSA Warriors 2017,4,4,0,18,27,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7974,KC Legends Three Lions 2017,3,3,2,18,40,0,11,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7979,Unified FC Pre-Academy 18B,3,4,1,17,30,0,10,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7977,Sporting City 17B Indigo-North,2,6,0,17,29,0,6,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
797A,Union KC Jr Elite B17/18 KS,2,6,0,17,41,0,6,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7971,Captains SC 17/18 Gold,1,6,1,16,51,0,4,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
7976,Lee's Summit Legends Arsenal,1,7,0,13,47,0,3,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 7,Boys
798A,Sporting City 18B Blue-North,7,0,1,36,7,0,22,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7987,MSA Twisters,7,1,0,37,16,0,21,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7986,Manhattan Surf 17/18B,5,2,1,28,21,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7988,Sporting BV Portugal 18,5,2,1,33,20,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7983,KCL Chelsea 17,4,3,1,24,14,0,13,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7980,BSSA Phoenix 2018,3,3,2,26,23,0,11,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7985,LUSC 2017- Lightning,3,4,1,20,25,0,10,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7984,LSL Academy Red 2018,3,5,0,29,39,0,9,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7981,Jambars FC U9 Junior,2,6,0,15,31,0,6,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7989,Sporting City 18B Blue-East,1,6,1,19,28,0,4,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7982,KC Athletics Inter 17B,0,8,0,11,54,0,0,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 8,Boys
7990,HAFC Premier 2017B,7,0,1,53,7,0,22,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7996,SBV IP Shamrock FC,7,0,1,49,10,0,22,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7995,PSC 17/18B,5,2,1,32,20,0,16,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7997,SJSC Premier Phantoms,5,3,0,38,16,0,15,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7992,OP Premier Blue 2018B,4,3,1,36,18,0,13,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7999,Sporting City 17B Orange-North,4,3,1,26,28,0,13,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7994,Palmyra Mayhem,4,4,0,16,21,0,12,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7993,OP Premier White 2018B,2,5,1,22,26,0,7,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7998,Sporting City 17B Indigo-West,1,6,1,15,54,0,4,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7991,KCL-N Madrid 2017 B,1,6,1,16,58,0,4,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
799A,Sporting City 18B Indigo-North,0,8,0,5,50,0,0,2025_fall,boys_prem,U9,U-9 Boys Premier Subdivision 9,Boys
7015,KCL Acadmey Red 2016,7,0,1,48,18,0,22,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 1,Boys
7012,KC Athletics Borussia 16B,4,2,2,25,19,0,14,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 1,Boys
7017,Union KC Jr Elite B16 MO Navy,4,3,1,35,25,0,13,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 1,Boys
7016,Toca FC 16B Premier,4,4,0,40,19,0,12,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 1,Boys
7014,KC Surf Academy 2016B,3,3,2,24,20,0,11,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 1,Boys
7011,2016 KCL Barcelona,3,5,0,20,26,0,9,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 1,Boys
7013,KC Fusion 16B Gold,0,8,0,3,68,0,0,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 1,Boys
7029,Sporting City 16B Blue-North,7,0,1,42,18,0,22,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7026,SPORTING BV Panama 16,6,0,2,35,13,0,20,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7024,LS Legends Acdemy Elite 2016,6,1,1,31,19,0,19,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7025,Sporting BV Mexico 16,4,4,0,20,17,0,12,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7028,Sporting City 16B Blue-East,3,5,0,20,30,0,9,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7022,Kansas Rush Academy 16B,2,5,1,16,26,0,7,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7023,KCL Academy Black 2016,2,6,0,12,30,0,6,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7027,SPORTING BV Real Madrid 16,1,5,2,17,27,0,5,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7021,GEA Pre-ECNL Northwest,1,6,1,25,38,0,4,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 2,Boys
7030,Alliance FC 2016 Red Star,8,0,0,30,9,0,24,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7037,Sporting KV Elite 16B,6,1,1,35,13,0,19,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7038,Toca FC 2016B Championship,4,2,2,26,18,0,14,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7036,Sporting BV Morocco 16,4,3,1,25,20,0,13,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7039,TSC 16B Select Blue,3,2,3,20,12,0,12,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7032,KC Surf Blue 2016B,3,4,1,12,26,0,10,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7035,OP Academy 2016B,2,3,3,17,16,0,9,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
703A,Union KC Jr Elite B16 KS Navy,2,3,3,19,20,0,9,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7034,KCL North Wolves 2016,3,5,0,19,24,0,9,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7031,F.C. Horizon 2016B Green,1,5,2,21,29,0,5,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7033,KCL Legacy 2016,0,8,0,1,38,0,0,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 3,Boys
7043,HAFC Elite 2016B,8,0,0,60,13,0,24,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 4,Boys
7042,FC Vardar 2016B,6,1,1,31,10,0,19,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 4,Boys
7045,KC Athletics Liverpool 16B,5,1,2,43,18,0,17,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 4,Boys
7041,Bk Academy FC 16B,4,2,2,33,22,0,14,2025_fall,boys_prem,U10,U-10 Boys Premier Subdivision 4,Boys
